customer_id,account_open_date,credit_score,annual_income,product_type,state,is_delinquent
CUST00000,2023-09-01,607.0,81433.17,Credit Card,CA,0
CUST00001,2021-09-30,630.0,83048.32,Student Loan,MI,0
CUST00002,2022-02-07,732.0,43851.06,Student Loan,IA,0
CUST00003,2023-05-19,688.0,34410.41,Student Loan,NY,1
CUST00004,2021-06-20,603.0,57194.47,Mortgage,MI,0
CUST00005,2022-08-26,575.0,95604.73,Credit Card,CA,0
CUST00006,2022-12-31,,2969.47,Student Loan,MI,0
CUST00007,2019-05-09,586.0,76585.79,Credit Card,TX,0
CUST00008,2018-05-02,573.0,41333.38,Auto Loan,CA,0
CUST00009,2019-10-20,615.0,87888.08,Auto Loan,NY,0
CUST00010,2019-09-17,798.0,41285.67,Mortgage,NY,0
CUST00011,2023-03-29,660.0,58720.85,Credit Card,MI,0
CUST00012,2023-06-22,708.0,31861.86,Student Loan,IA,0
CUST00013,2018-01-12,528.0,,Credit Card,TX,0
CUST00014,2020-12-30,620.0,95488.46,Student Loan,IA,0
CUST00015,2022-12-04,763.0,83052.73,Mortgage,NY,1
CUST00016,2018-10-15,770.0,56163.3,Auto Loan,TX,0
CUST00017,2022-10-12,702.0,45856.21,Auto Loan,TX,0
CUST00018,2018-09-18,806.0,23336.24,Credit Card,IA,0
CUST00019,2020-10-21,604.0,56339.55,Auto Loan,IA,0
CUST00020,2022-11-24,557.0,64320.13,Mortgage,IA,0
CUST00021,2019-10-26,527.0,,Credit Card,IA,0
CUST00022,2020-01-19,569.0,62936.58,Student Loan,NY,0
CUST00023,2019-09-02,767.0,40320.19,Mortgage,NY,0
CUST00024,2022-04-25,816.0,63541.97,Auto Loan,IA,0
CUST00025,2019-07-13,545.0,64149.19,Auto Loan,MI,0
CUST00026,2023-12-10,675.0,93392.36,Student Loan,IA,1
CUST00027,2020-09-01,546.0,106068.14,Auto Loan,NY,0
CUST00028,2020-11-13,795.0,61986.24,Student Loan,NY,0
CUST00029,2021-01-09,545.0,48141.27,Auto Loan,CA,0
CUST00030,2021-06-29,724.0,63570.39,Mortgage,NY,0
CUST00031,2021-04-27,528.0,51632.33,Student Loan,NY,0
CUST00032,2021-01-20,758.0,48666.46,Student Loan,IA,0
CUST00033,2023-12-21,817.0,63709.7,Credit Card,IA,0
CUST00034,2022-11-04,756.0,42047.3,Auto Loan,IA,0
CUST00035,2022-10-02,594.0,78334.35,Mortgage,IA,0
CUST00036,2022-03-14,794.0,62713.86,Auto Loan,NY,0
CUST00037,2021-09-24,607.0,70500.18,Auto Loan,CA,0
CUST00038,2020-01-17,763.0,60975.32,Mortgage,TX,0
CUST00039,2023-12-06,791.0,49000.4,Student Loan,IA,0
CUST00040,2020-10-18,669.0,44144.89,Auto Loan,MI,0
CUST00041,2019-04-17,716.0,59779.93,Auto Loan,CA,0
CUST00042,2023-01-25,799.0,52927.27,Student Loan,CA,0
CUST00043,2018-12-17,565.0,70145.83,Mortgage,CA,0
CUST00044,2023-02-21,506.0,,Auto Loan,MI,0
CUST00045,2021-09-03,652.0,35029.25,Student Loan,TX,0
CUST00046,2018-09-09,563.0,66476.67,Mortgage,IA,0
CUST00047,2018-04-07,809.0,35457.07,Mortgage,IA,0
CUST00048,2020-09-01,803.0,51437.49,Student Loan,IA,0
CUST00049,2018-03-20,631.0,58524.22,Credit Card,CA,0
CUST00050,2018-11-07,608.0,19343.99,Student Loan,NY,0
CUST00051,2021-02-01,,67013.16,Credit Card,MI,0
CUST00052,2023-10-26,658.0,68321.63,Credit Card,IA,0
CUST00053,2020-10-17,533.0,61523.47,Student Loan,MI,0
CUST00054,2022-11-06,731.0,55665.02,Auto Loan,TX,0
CUST00055,2023-07-02,754.0,56780.72,Credit Card,CA,0
CUST00056,2022-12-09,524.0,43516.13,Mortgage,MI,0
CUST00057,2021-10-10,771.0,59066.59,Auto Loan,NY,0
CUST00058,2020-08-24,686.0,52842.54,Auto Loan,TX,0
CUST00059,2021-01-30,789.0,67017.08,Student Loan,MI,0
CUST00060,2019-08-07,,38509.01,Mortgage,MI,0
CUST00061,2020-12-24,735.0,70182.98,Credit Card,CA,0
CUST00062,2020-04-10,616.0,68150.82,Mortgage,TX,0
CUST00063,2019-06-27,629.0,61885.62,Credit Card,IA,0
CUST00064,2023-12-16,753.0,55337.49,Auto Loan,IA,0
CUST00065,2018-01-26,522.0,77151.48,Credit Card,IA,0
CUST00066,2018-08-01,580.0,28378.76,Student Loan,NY,0
CUST00067,2019-02-26,681.0,75129.97,Credit Card,NY,0
CUST00068,2023-10-24,829.0,70346.82,Mortgage,NY,0
CUST00069,2022-02-24,765.0,71234.28,Auto Loan,MI,1
CUST00070,2023-04-16,785.0,73432.88,Mortgage,NY,1
CUST00071,2019-03-16,566.0,50619.82,Mortgage,TX,1
CUST00072,2022-04-28,598.0,,Credit Card,TX,0
CUST00073,2020-03-20,593.0,79015.28,Auto Loan,MI,0
CUST00074,2020-12-06,762.0,74474.06,Mortgage,MI,0
CUST00075,2018-01-09,687.0,69547.68,Credit Card,NY,0
CUST00076,2021-09-14,573.0,31684.95,Student Loan,CA,0
CUST00077,2022-12-23,761.0,76833.52,Student Loan,NY,0
CUST00078,2021-12-24,723.0,90728.36,Mortgage,TX,0
CUST00079,2018-12-05,813.0,87212.77,Student Loan,NY,0
CUST00080,2021-03-15,695.0,70145.32,Auto Loan,CA,0
CUST00081,2019-08-10,544.0,,Mortgage,MI,0
CUST00082,2023-10-15,810.0,85735.99,Auto Loan,NY,0
CUST00083,2023-04-12,564.0,61760.4,Credit Card,CA,0
CUST00084,2019-02-12,519.0,9284.57,Credit Card,NY,0
CUST00085,2021-01-21,779.0,73298.56,Mortgage,NY,0
CUST00086,2023-08-21,657.0,32172.22,Credit Card,CA,0
CUST00087,2023-01-30,725.0,36478.31,Mortgage,CA,0
CUST00088,2022-03-31,545.0,51030.9,Auto Loan,CA,0
CUST00089,2021-11-01,752.0,92997.01,Auto Loan,IA,0
CUST00090,2018-04-03,641.0,56841.4,Student Loan,CA,0
CUST00091,2022-06-13,848.0,70961.81,Student Loan,NY,0
CUST00092,2020-11-02,722.0,103455.3,Auto Loan,IA,0
CUST00093,2018-07-20,828.0,100068.65,Auto Loan,CA,0
CUST00094,2019-06-20,777.0,62726.22,Student Loan,NY,0
CUST00095,2021-03-31,795.0,59686.54,Mortgage,TX,0
CUST00096,2022-05-11,530.0,37260.85,Mortgage,MI,0
CUST00097,2021-01-17,771.0,,Credit Card,NY,0
CUST00098,2021-09-04,711.0,74357.88,Mortgage,TX,0
CUST00099,2023-03-24,638.0,73706.08,Mortgage,MI,0
CUST00100,2022-02-11,609.0,67425.24,Credit Card,CA,0
CUST00101,2020-03-02,724.0,86885.64,Student Loan,NY,0
CUST00102,2021-11-09,569.0,48007.9,Mortgage,CA,0
CUST00103,2021-08-03,564.0,63766.32,Mortgage,CA,0
CUST00104,2018-08-26,805.0,81087.35,Student Loan,TX,0
CUST00105,2018-05-10,765.0,77851.21,Auto Loan,NY,0
CUST00106,2021-12-16,706.0,88560.81,Student Loan,IA,0
CUST00107,2020-04-28,765.0,73734.45,Student Loan,TX,0
CUST00108,2021-08-03,612.0,58193.14,Mortgage,CA,0
CUST00109,2019-12-09,752.0,72968.23,Mortgage,NY,0
CUST00110,2019-05-10,572.0,42942.91,Student Loan,NY,0
CUST00111,2018-11-25,655.0,28931.89,Auto Loan,IA,0
CUST00112,2020-04-15,551.0,,Student Loan,TX,0
CUST00113,2022-11-23,632.0,63786.91,Auto Loan,NY,0
CUST00114,2020-05-28,619.0,71785.01,Student Loan,CA,0
CUST00115,2020-04-10,646.0,27650.94,Student Loan,IA,0
CUST00116,2021-06-14,666.0,56967.49,Mortgage,IA,0
CUST00117,2023-11-14,511.0,51803.14,Credit Card,CA,0
CUST00118,2020-05-09,619.0,45987.33,Student Loan,MI,0
CUST00119,2021-07-16,795.0,15389.67,Mortgage,NY,0
CUST00120,2020-08-20,651.0,57632.78,Mortgage,TX,0
CUST00121,2021-08-18,689.0,84740.69,Mortgage,IA,0
CUST00122,2020-09-03,536.0,73381.95,Student Loan,TX,0
CUST00123,2021-10-29,635.0,51779.17,Mortgage,NY,0
CUST00124,2021-04-13,839.0,64672.73,Auto Loan,CA,0
CUST00125,2022-01-21,691.0,81649.6,Student Loan,CA,0
CUST00126,2023-09-27,507.0,4270.81,Mortgage,CA,0
CUST00127,2018-11-27,752.0,62260.2,Auto Loan,TX,0
CUST00128,2021-05-14,769.0,76950.4,Credit Card,TX,0
CUST00129,2020-08-22,,80006.83,Auto Loan,IA,0
CUST00130,2020-02-24,511.0,102416.06,Student Loan,NY,0
CUST00131,2019-06-09,790.0,89971.0,Auto Loan,NY,0
CUST00132,2018-04-25,588.0,71876.38,Student Loan,CA,0
CUST00133,2020-05-31,821.0,71643.47,Student Loan,MI,0
CUST00134,2022-12-15,627.0,82312.8,Student Loan,NY,0
CUST00135,2018-07-31,635.0,53134.81,Auto Loan,MI,0
CUST00136,2020-06-08,777.0,64115.86,Student Loan,TX,0
CUST00137,2023-10-21,548.0,84937.26,Mortgage,TX,0
CUST00138,2023-09-15,510.0,108063.79,Student Loan,TX,0
CUST00139,2019-04-16,766.0,61496.12,Auto Loan,NY,0
CUST00140,2018-01-17,824.0,63935.18,Mortgage,CA,0
CUST00141,2022-01-11,847.0,69366.56,Student Loan,CA,0
CUST00142,2018-02-01,545.0,94550.48,Student Loan,IA,0
CUST00143,2019-10-20,551.0,64333.11,Student Loan,NY,0
CUST00144,2020-12-24,618.0,97325.9,Credit Card,IA,1
CUST00145,2023-03-30,749.0,43733.54,Credit Card,CA,0
CUST00146,2018-07-23,819.0,60907.2,Credit Card,CA,0
CUST00147,2021-12-21,788.0,60640.37,Student Loan,CA,0
CUST00148,2021-03-13,631.0,82303.13,Auto Loan,CA,0
CUST00149,2018-10-16,822.0,87995.73,Mortgage,IA,0
CUST00150,2023-01-26,589.0,31792.22,Auto Loan,CA,0
CUST00151,2023-01-25,543.0,44867.41,Credit Card,IA,0
CUST00152,2020-11-23,652.0,72410.75,Student Loan,NY,0
CUST00153,2023-09-01,532.0,50508.74,Auto Loan,NY,0
CUST00154,2021-08-22,737.0,31506.59,Auto Loan,TX,0
CUST00155,2023-06-03,845.0,87846.56,Credit Card,NY,0
CUST00156,2023-10-05,537.0,75867.34,Credit Card,CA,0
CUST00157,2021-06-01,540.0,75849.9,Mortgage,NY,0
CUST00158,2019-09-08,562.0,54540.19,Student Loan,MI,0
CUST00159,2018-11-15,561.0,87636.65,Credit Card,CA,1
CUST00160,2021-05-17,687.0,59720.88,Mortgage,TX,0
CUST00161,2019-02-26,701.0,89121.58,Auto Loan,NY,0
CUST00162,2022-07-01,832.0,44943.37,Mortgage,CA,0
CUST00163,2023-07-26,656.0,46209.02,Auto Loan,CA,0
CUST00164,2019-06-22,824.0,69502.59,Student Loan,NY,0
CUST00165,2021-04-24,762.0,49548.69,Mortgage,NY,1
