account_id,month,delinquency_bucket,balance
ACCT00000,1,Current,12672.43
ACCT00001,1,Current,6806.56
ACCT00002,1,Current,14304.03
ACCT00003,1,Current,9831.76
ACCT00004,1,Current,1915.3
ACCT00005,1,60DPD,13299.38
ACCT00006,1,Current,7441.12
ACCT00007,1,Current,2296.26
ACCT00008,1,Current,2459.81
ACCT00009,1,Current,10375.5
ACCT00010,1,Current,901.11
ACCT00011,1,30DPD,4441.59
ACCT00012,1,Current,2268.86
ACCT00013,1,Current,6727.95
ACCT00014,1,Current,6332.44
ACCT00015,1,Current,7923.77
ACCT00016,1,Current,4338.62
ACCT00017,1,Current,674.25
ACCT00018,1,Current,9292.91
ACCT00019,1,Current,5731.03
ACCT00020,1,Current,9839.76
ACCT00021,1,Current,1808.27
ACCT00022,1,60DPD,403.9
ACCT00023,1,Current,3874.75
ACCT00024,1,Current,6956.9
ACCT00025,1,Current,6032.27
ACCT00026,1,Current,12192.48
ACCT00027,1,Current,5792.0
ACCT00028,1,Current,8050.53
ACCT00029,1,Current,8984.03
ACCT00030,1,Current,523.1
ACCT00031,1,60DPD,7823.97
ACCT00032,1,Current,5303.5
ACCT00033,1,Current,6434.95
ACCT00034,1,Current,1684.25
ACCT00035,1,Current,11785.74
ACCT00036,1,Current,14147.58
ACCT00037,1,Current,529.58
ACCT00038,1,Current,9100.32
ACCT00039,1,Current,11504.89
ACCT00040,1,Current,4415.15
ACCT00041,1,Current,11855.82
ACCT00042,1,Current,9558.85
ACCT00043,1,Current,13951.61
ACCT00044,1,Current,14718.87
ACCT00045,1,Current,826.72
ACCT00046,1,Current,6785.08
ACCT00047,1,Current,8295.42
ACCT00048,1,Current,2371.8
ACCT00049,1,Current,5177.03
ACCT00050,1,Current,14817.18
ACCT00051,1,Current,440.21
ACCT00052,1,Current,6897.12
ACCT00053,1,Current,12671.29
ACCT00054,1,Current,4993.74
ACCT00055,1,Current,7301.02
ACCT00056,1,Current,14675.08
ACCT00057,1,Current,7228.18
ACCT00058,1,Current,2137.64
ACCT00059,1,Current,965.48
ACCT00060,1,Current,14192.17
ACCT00061,1,Current,4133.98
ACCT00062,1,Current,7660.15
ACCT00063,1,Current,1542.39
ACCT00064,1,Current,6470.1
ACCT00065,1,Current,13965.56
ACCT00066,1,Current,7635.71
ACCT00067,1,Current,14572.8
ACCT00068,1,Current,4030.77
ACCT00069,1,Current,7667.27
ACCT00070,1,Current,12921.06
ACCT00071,1,Current,6834.13
ACCT00072,1,Current,4336.41
ACCT00073,1,Current,12861.04
ACCT00074,1,Current,5970.36
ACCT00075,1,Current,8054.7
ACCT00076,1,Current,14652.6
ACCT00077,1,Current,2959.95
ACCT00078,1,Current,4660.73
ACCT00079,1,Current,659.83
ACCT00080,1,Current,5999.2
ACCT00081,1,Current,3162.71
ACCT00082,1,Current,10264.52
ACCT00083,1,Current,2883.56
ACCT00084,1,Current,10187.23
ACCT00085,1,Current,4099.44
ACCT00086,1,Current,5457.22
ACCT00087,1,Current,5363.14
ACCT00088,1,Current,10807.93
ACCT00089,1,Current,7104.34
ACCT00090,1,Current,5547.22
ACCT00091,1,Current,12818.82
ACCT00092,1,Current,8664.87
ACCT00093,1,Current,3364.7
ACCT00094,1,Current,13521.35
ACCT00095,1,Current,5271.22
ACCT00096,1,Current,776.89
ACCT00097,1,Current,7520.08
ACCT00098,1,Current,2034.28
ACCT00099,1,60DPD,3729.3
ACCT00100,1,30DPD,11257.24
ACCT00101,1,Current,2135.13
ACCT00102,1,Current,12142.77
ACCT00103,1,60DPD,14066.23
ACCT00104,1,Current,9176.68
ACCT00105,1,Current,10713.32
ACCT00106,1,Current,10761.08
ACCT00107,1,Current,14893.56
ACCT00108,1,Current,5254.77
ACCT00109,1,30DPD,2610.28
ACCT00110,1,Current,7883.68
ACCT00111,1,Current,8092.1
ACCT00112,1,Current,2833.1
ACCT00113,1,Current,9274.02
ACCT00114,1,Current,409.05
ACCT00115,1,Current,13929.49
ACCT00116,1,Current,4115.7
ACCT00117,1,Current,785.49
ACCT00118,1,Current,1802.09
ACCT00119,1,Current,3755.68
ACCT00120,1,Current,4253.81
ACCT00121,1,Current,685.59
ACCT00122,1,Current,4334.45
ACCT00123,1,Current,3055.54
ACCT00124,1,Current,5803.59
ACCT00125,1,Current,5900.48
ACCT00126,1,Current,5217.31
ACCT00127,1,Current,5053.27
ACCT00128,1,Current,1528.02
ACCT00129,1,Current,573.03
ACCT00130,1,Current,3191.29
ACCT00131,1,30DPD,11398.41
ACCT00132,1,Current,14863.98
ACCT00133,1,Current,13942.19
ACCT00134,1,Current,7662.45
ACCT00135,1,Current,8070.99
ACCT00136,1,30DPD,4855.81
ACCT00137,1,Current,11654.3
ACCT00138,1,Current,11518.4
ACCT00139,1,Current,12695.23
ACCT00140,1,Current,13453.47
ACCT00141,1,Current,6628.37
ACCT00142,1,30DPD,11549.76
ACCT00143,1,Current,12134.7
ACCT00144,1,Current,4765.2
ACCT00145,1,Current,13952.79
ACCT00146,1,Current,1596.25
ACCT00147,1,Current,14915.18
ACCT00148,1,Current,11597.34
ACCT00149,1,Current,1580.41
ACCT00150,1,Current,9912.2
ACCT00151,1,Current,705.86
ACCT00152,1,Current,11598.77
ACCT00153,1,Current,12028.5
ACCT00154,1,Current,9115.67
ACCT00155,1,Current,12881.53
ACCT00156,1,Current,1648.67
ACCT00157,1,Current,4283.67
ACCT00158,1,Current,6329.83
ACCT00159,1,Current,828.38
ACCT00160,1,Current,6833.6
ACCT00161,1,30DPD,4125.16
ACCT00162,1,Current,6012.48
ACCT00163,1,Current,6491.52
ACCT00164,1,Current,13215.29
ACCT00165,1,Current,4201.05
ACCT00166,1,Current,13427.4
ACCT00167,1,Current,6504.37
ACCT00168,1,Current,5051.55
ACCT00169,1,30DPD,7637.18
ACCT00170,1,Current,6382.6
ACCT00171,1,Current,4009.11
ACCT00172,1,Current,7639.65
ACCT00173,1,30DPD,2446.67
ACCT00174,1,Current,5408.56
ACCT00175,1,Current,8573.7
ACCT00176,1,Current,6318.44
ACCT00177,1,ChargeOff,12393.9
ACCT00178,1,Current,3999.48
ACCT00179,1,Current,14552.62
ACCT00180,1,Current,11813.89
ACCT00181,1,Current,14520.38
ACCT00182,1,Current,12604.42
ACCT00183,1,Current,2303.14
ACCT00184,1,Current,7991.61
ACCT00185,1,Current,2715.68
ACCT00186,1,Current,12309.76
ACCT00187,1,Current,8845.6
ACCT00188,1,Current,4099.05
ACCT00189,1,Current,13958.06
ACCT00190,1,30DPD,1904.75
ACCT00191,1,Current,8545.16
ACCT00192,1,Current,10871.4
ACCT00193,1,Current,1070.96
ACCT00194,1,Current,9048.27
ACCT00195,1,Current,12275.34
ACCT00196,1,Current,1199.4
ACCT00197,1,Current,7781.2
ACCT00198,1,Current,4026.65
ACCT00199,1,Current,10011.28
ACCT00200,1,Current,1956.43
ACCT00201,1,60DPD,14068.36
ACCT00202,1,Current,13441.98
ACCT00203,1,Current,2952.42
ACCT00204,1,Current,4984.34
ACCT00205,1,Current,8897.0
ACCT00206,1,Current,10827.32
ACCT00207,1,Current,6751.31
ACCT00208,1,Current,2513.11
ACCT00209,1,Current,1741.44
ACCT00210,1,Current,14996.53
ACCT00211,1,Current,6939.21
ACCT00212,1,Current,13113.47
ACCT00213,1,Current,7339.16
ACCT00214,1,Current,13850.89
ACCT00215,1,Current,1498.84
ACCT00216,1,Current,1887.48
ACCT00217,1,Current,13958.56
ACCT00218,1,30DPD,14222.9
ACCT00219,1,Current,4857.82
ACCT00220,1,Current,5456.44
ACCT00221,1,Current,6896.26
ACCT00222,1,Current,6359.19
ACCT00223,1,30DPD,3012.67
ACCT00224,1,Current,13495.96
ACCT00225,1,30DPD,3948.95
ACCT00226,1,Current,10638.03
ACCT00227,1,Current,1193.9
ACCT00228,1,Current,773.52
ACCT00229,1,Current,9875.21
ACCT00230,1,Current,5217.43
ACCT00231,1,Current,9900.8
ACCT00232,1,60DPD,1591.51
ACCT00233,1,Current,14257.8
ACCT00234,1,30DPD,11278.01
ACCT00235,1,Current,13168.76
ACCT00236,1,Current,2219.76
ACCT00237,1,Current,4938.38
ACCT00238,1,Current,5651.49
ACCT00239,1,Current,8150.16
ACCT00240,1,Current,4593.65
ACCT00241,1,Current,1097.33
ACCT00242,1,Current,5659.4
ACCT00243,1,Current,3967.33
ACCT00244,1,Current,5911.64
ACCT00245,1,Current,3115.0
ACCT00246,1,Current,4076.07
ACCT00247,1,Current,9478.89
ACCT00248,1,Current,5944.68
ACCT00249,1,Current,5311.67
ACCT00250,1,Current,8101.8
ACCT00251,1,Current,11623.54
ACCT00252,1,Current,5807.25
ACCT00253,1,Current,8895.29
ACCT00254,1,Current,14499.8
ACCT00255,1,Current,7925.31
ACCT00256,1,Current,13665.0
ACCT00257,1,Current,11946.35
ACCT00258,1,Current,1069.04
ACCT00259,1,Current,6550.66
ACCT00260,1,Current,10535.11
ACCT00261,1,Current,14803.34
ACCT00262,1,Current,6983.97
ACCT00263,1,Current,1573.22
ACCT00264,1,30DPD,8517.74
ACCT00265,1,Current,2073.14
