date,delinquency_rate,total_accounts,delinquent_accounts
2021-01-01,3.142,12054,379
2021-02-01,3.522,12109,426
2021-03-01,3.678,12001,441
2021-04-01,3.695,12072,446
2021-05-01,3.74,12199,456
2021-06-01,3.463,12080,418
2021-07-01,3.377,12212,412
2021-08-01,3.317,12274,407
2021-09-01,2.764,12395,343
2021-10-01,2.649,12401,329
2021-11-01,2.918,12380,361
2021-12-01,3.111,12418,386
2022-01-01,3.376,12465,421
2022-02-01,3.517,12611,443
2022-03-01,3.938,12534,494
2022-04-01,4.196,12582,528
2022-05-01,3.796,12661,481
2022-06-01,3.775,12673,478
2022-07-01,3.24,12708,412
2022-08-01,3.06,12693,388
2022-09-01,2.737,12799,350
2022-10-01,2.934,12813,376
2022-11-01,2.818,12950,365
2022-12-01,3.312,12959,429
2023-01-01,3.602,12959,467
2023-02-01,3.866,13040,504
2023-03-01,3.706,13020,483
2023-04-01,4.19,13143,551
2023-05-01,4.245,13120,557
2023-06-01,4.094,13195,540
2023-07-01,3.523,13123,462
2023-08-01,3.422,13261,454
2023-09-01,3.108,13179,410
2023-10-01,3.047,13198,402
2023-11-01,3.453,13342,461
2023-12-01,3.333,13346,445
2024-01-01,3.784,13450,509
2024-02-01,4.275,13615,582
2024-03-01,4.27,13470,575
2024-04-01,4.483,13523,606
2024-05-01,4.49,13612,611
2024-06-01,4.301,13670,588
2024-07-01,3.794,13669,519
2024-08-01,3.738,13708,512
2024-09-01,3.745,13802,517
2024-10-01,3.13,13831,433
2024-11-01,3.633,13778,501
2024-12-01,3.716,13875,516
2025-01-01,3.89,13922,542
2025-02-01,4.692,13897,652
2025-03-01,4.729,14016,663
2025-04-01,4.503,13989,630
2025-05-01,4.699,14138,664
2025-06-01,4.609,14132,651
2025-07-01,4.197,14165,594
2025-08-01,4.063,14165,576
2025-09-01,3.705,14233,527
2025-10-01,3.745,14160,530
2025-11-01,3.953,14252,563
2025-12-01,3.789,14382,545
2026-01-01,4.258,14272,608
2026-02-01,4.465,14491,647
2026-03-01,4.83,14375,694
2026-04-01,4.722,14565,688
2026-05-01,4.798,14509,696
2026-06-01,4.686,14647,686
